Segment,Novelty,Representativeness,Main_Topics,Label
1,0.0,0.272,"['見る', '聞こえる', 'お願い', '31', '良い']",O
2,0.863,0.321,"['関連', '分ける', '大雑把', '選ぶ', '辺り']",D
3,0.778,0.416,"['農業', '繋がる', 'みんな', 'どれ', 'やすい']",D
4,0.654,0.441,"['統一', '課題', '生活', '地域', 'する']",D
5,0.838,0.47,"['作る', 'いい', 'ちゃう', '分かる', 'それぞれ']",D
6,0.805,0.342,"['書く', 'slack', 'とく', 'いい', 'notion']",O
7,0.7,0.504,"['it', '決定', '全体', '地域', 'いい']",C
8,0.831,0.434,"['壮大', '社会', 'テーマ', 'しれる', 'そっ']",D
9,0.859,0.408,"['サービス', '開発', '支援', 'it', '絞る']",D
10,0.817,0.434,"['テーマ', '教育', '生活', '話す', '学校']",D
11,0.807,0.472,"['過疎', '確か', 'ところ', '学校', 'する']",D
12,0.855,0.394,"['ai', '送る', 'はず', 'もらう', 'it']",D
13,0.814,0.5,"['地域', '問題', '課題', 'すぎる', '多い']",C
14,0.789,0.409,"['ふる', '入れる', 'it', 'もん', 'チャン']",D
15,0.857,0.477,"['する', 'いい', '圧倒的', '言葉', '二つ']",D
16,0.911,0.287,"['みんな', '受かる', '思い出', '英語', 'パソコン']",O
17,0.967,0.379,"['どこ', 'つける', 'あと', '大体', '論外']",O
18,0.914,0.318,"['千葉', '学年', '難しい', '人数', '地域']",D
19,0.865,0.427,"['考える', 'ベース', 'だいたい', '一般', '指す']",C
20,0.759,0.39,"['できる', 'そこ', '教員', '活用', '思う']",C
